document_id,course_id,teacher_id,source_filename,topic,summary,keywords,content_hash,extracted_at
doc_1_f134c238545c5d4c7571a629ba633f1b8abd4dc92445648b4158b2b950ebb1b6,1,1,BDA 4-6.docx,Unified Data Access Interface in Big Data Storage Systems,"This lecture discusses the Unified Data Access Interface (UDAI) within the context of a big data storage system, which is part of a broader architecture that includes data collection, distributed file systems, and distributed databases. UDAI serves as a layer on top of these storage components to provide a unified data interface that supports access to cross-platform heterogeneous data in a distributed environment, thereby enabling data exchange for upper-level applications. The evolution of database access interfaces from ODBC, which was limited in a distributed environment, to the Data Access Layer (DAL) and then UDAI was explained. A unified data access layer (UDAL) includes components like a unified query language, data conversion engine, and data source wrapper to shield application layers from data source differences. The session concludes by noting that the data storage system comprises four parts: data acquisition/modeling, distributed file systems, NoSQL databases, and the unified data access interface.","['Unified Data Access Interface (UDAI)', 'Data Access Layer (DAL)', 'ODBC', 'cross-platform heterogeneous data', 'distributed environment', 'big data computing system', 'data storage architecture', 'Unified Data Access Layer (UDAL)', 'database access API', 'data source wrapper']",f134c238545c5d4c7571a629ba633f1b8abd4dc92445648b4158b2b950ebb1b6,2026-01-04T17:44:19.062976+00:00
doc_1_cd2fc1e923907af6c9085c5d1f598870cb95a6bf811b0cd9971109a58c863d3d,1,1,BDA 6-3.docx,Recommendation System Algorithms: Collaborative and Content-Based Filtering,"This session introduces recommendation systems as algorithms that predict user preferences and suggest relevant items, widely used in platforms like Netflix and Amazon. Three main categories of recommendation algorithms are covered: collaborative filtering (which relies on other users' responses), content-based filtering (which uses item features), and knowledge-based algorithms. The lecture focuses on collaborative filtering approaches including user-based filtering (identifying similar users based on common item choices) and item-based filtering (calculating similarity between items). Detailed explanations are provided for both approaches, including how to build user-user and item-item matrices, calculate similarities using methods like Jaccard and cosine similarity, and compute user interest in candidate items. Content-based filtering is also explained with its three-step process of item representation, profile learning, and recommendation generation.","['Recommendation System', 'Collaborative filtering', 'User-based filtering', 'Item-based filtering', 'Content-based filtering', 'similarity calculation', 'matrix factorization', 'Jaccard similarity', 'cosine similarity', 'user-item matrix']",cd2fc1e923907af6c9085c5d1f598870cb95a6bf811b0cd9971109a58c863d3d,2026-01-04T17:43:49.338331+00:00
doc_1_daa6d9a2afc2596234792b7ada7968b4c588184ae94b8422a2adf34b213f44ab,1,1,BDA 6-5.docx,"Social Network Analysis: Fundamentals, Metrics, and Visualization","This session introduces social networks as structures of actors connected by ties, analyzed using social network analysis (SNA). It covers presenting networks as graphs with nodes and weighted edges, noting their low average distance exemplified by the Six Degrees of Separation. SNA metrics are detailed, including those for nodes/edges (e.g., Average Clustering Coefficient) and the overall network (e.g., Network Diameter, PageRank). Visualization is highlighted, with force-directed graph drawing algorithms like Fruchterman-Reingold using physical force models to create aesthetically-pleasing layouts. The session concludes with hands-on experiments using NetworkX and Gephi software on a 'Game of Thrones' dataset, covering graph generation, analysis, simplification, and recommendation tasks via techniques like biased random walks.","['Social Network Analysis (SNA)', 'Force-directed graph drawing', 'Fruchterman-Reingold algorithm', 'NetworkX', 'Gephi', 'Social network metrics', 'Six Degrees of Separation', 'Node and Edge', 'Graph visualization', 'Hands-on experiments']",daa6d9a2afc2596234792b7ada7968b4c588184ae94b8422a2adf34b213f44ab,2026-01-04T17:43:37.720168+00:00
doc_1_67f6ed251f6fe18b61c75260b79a1a0c0be32cabe75457e63bf4d520ef111f17,1,1,BDA 6-4.docx,Matrix Factorization for Recommendation Systems,"This lecture introduces Matrix Factorization as a typical latent factor model for recommendation systems. It contrasts with previous algorithms like user-based, item-based, and content-based filtering. The core concept involves decomposing the user-item rating matrix (R) with missing values into two dense matrices, P (user latent factors) and Q (item latent factors), to predict unknown ratings. Two optimization methods are detailed: Alternating Least Squares (ALS), which alternately fixes P or Q to minimize a cost function, and Gradient Descent, which iteratively updates parameters. The session also outlines practical experiments comparing user-based collaborative filtering with matrix decomposition using libraries like Surprise, including steps for data preprocessing, model training with Grid Search, and result visualization.","['Matrix Factorization', 'latent factor model', 'singular value decomposition (SVD)', 'Alternating Least Squares (ALS)', 'Gradient Descent', 'user-item rating matrix', 'cost function', 'collaborative filtering', 'Grid Search', 'recommendation systems']",67f6ed251f6fe18b61c75260b79a1a0c0be32cabe75457e63bf4d520ef111f17,2026-01-04T17:43:36.740564+00:00
doc_1_5b7d5343748a2cd52b8730aef1ef733c9eb5a071a61d5695b997f6ffa6adec6d,1,1,BDA5-3.docx,Batch Processing with MapReduce in Big Data Systems,"This session introduces the batch processing computing model, represented by MapReduce, as part of big data processing systems. It explains the MapReduce architecture, including Client, JobTracker, TaskTracker, and Task components. The JobTracker handles resource monitoring and job scheduling, while TaskTracker manages node resources via slots. The process involves retrieving data from HDFS blocks, splitting it for map tasks, shuffling intermediate results, and reducing to final output. Integration of HDFS and MapReduce on the same cluster is discussed, emphasizing data locality to minimize transmission overhead.","['batch processing', 'MapReduce', 'HDFS', 'JobTracker', 'TaskTracker', 'slot', 'shuffle phase', 'data blocks', 'Hadoop scheduler', 'distributed computing']",5b7d5343748a2cd52b8730aef1ef733c9eb5a071a61d5695b997f6ffa6adec6d,2026-01-04T17:43:18.899361+00:00
doc_1_f6784a90fc442cd1044fd32a38ca2361b31c0b40730942d094da21deea1a9881,1,1,BDA5-2.docx,Big Data Processing Algorithms: Machine Learning and Data Mining Overview,"The session provides a foundational overview of big data processing algorithms, which are broadly categorized into data mining and machine learning algorithms. Machine learning algorithms are explored in detail, covering the main paradigms: supervised learning (used for tasks like classification, regression, and includes logistic regression, SVM, ANN, and deep learning networks like CNN and RNN), unsupervised learning (used for clustering, dimensionality reduction, and anomaly detection), semi-supervised learning, and reinforcement learning (a trial-and-error method using rewards/punishment). The session clarifies key differences, noting that machine learning allows computers to learn without explicit programming by using data. A distinction is made between machine learning and deep learning, where deep learning is a subset that uses neural networks modeled after the human brain and typically requires more data and computational resources (like GPUs) but can achieve higher accuracy. Data mining algorithms are introduced and categorized into four groups: classification, clustering, correlation analysis, and anomaly detection, with examples like SVM, decision trees, and Naïve Bayes.","['machine learning', 'supervised learning', 'unsupervised learning', 'deep learning', 'reinforcement learning', 'data mining', 'neural networks', 'clustering', 'classification', 'algorithms']",f6784a90fc442cd1044fd32a38ca2361b31c0b40730942d094da21deea1a9881,2026-01-04T17:43:06.463707+00:00
doc_1_252e04ef259bd73dfcbb5a5dd558091b2f22e30fe440e817c347e4aad623d10b,1,1,BDA5-1.docx,Data Processing Architecture for Big Data Systems,"This lecture introduces the architecture of data processing systems for big data. The system is divided into layers: data algorithm layer, computing model layer, computing platform layer, and computing engine layer. Key computing algorithms are machine learning and data mining. Computing models include batch processing (e.g., MapReduce), stream computing, Massively Parallel Processing (MPP) for structured data, In-memory Computing, and Data Flow Graph models. Represented by platforms like Hadoop and Spark, these layers and models provide capabilities for processing large datasets efficiently. Specific processing methods like batch and stream are detailed for their use cases (e.g., payroll, fraud detection). The computing platform and engine layer provides the integrated development environment and tools necessary to implement these complex algorithms and models.","['batch processing', 'stream computing', 'Massively Parallel Processing (MPP)', 'In-memory computing', 'computing platform', 'Hadoop', 'Spark', 'machine learning algorithms', 'data mining algorithms', 'computing model layer']",252e04ef259bd73dfcbb5a5dd558091b2f22e30fe440e817c347e4aad623d10b,2026-01-04T17:43:04.236477+00:00
doc_1_b99e9819f3f3cda0be85545d12c9e837ebe70a1a3453cf47c7cdfe3913d038ca,1,1,BDA5-4.docx,Stream Computing Model and Systems,"This session introduces the stream computing model as a key component of big data processing architectures, contrasting it with batch processing. Stream computing is defined as a model for processing real-time, continuous, and dynamic data with low latency, often found in Internet applications and sensor networks. The lecture details the stream computing framework, including real-time data collection, calculation, and query services. It uses Storm as a prime example of a Native Stream Processing System, describing its architecture based on a directed acyclic graph (DAG) topology with Spouts and Bolts, and its master-slave node structure with Nimbus and Supervisor daemons. The session also covers Micro-batch Stream Processing, as exemplified by Spark, and concludes by discussing how batch and stream computing can be combined in practical applications using systems like Kafka, Hadoop, Cassandra, and HBase to support data analytics.","['stream computing', 'Storm', 'real-time data', 'directed acyclic graph (DAG)', 'topology', 'micro-batch processing', 'batch processing', 'Native Stream Processing System', 'Spout', 'Bolt']",b99e9819f3f3cda0be85545d12c9e837ebe70a1a3453cf47c7cdfe3913d038ca,2026-01-04T17:43:01.826048+00:00
doc_1_265579684766a5542ea3a5837d1254a5193b73ca0d25e7d11f2ce6ebdeddc56f,1,1,BDA5-5.docx,Massively Parallel Processing (MPP) Model for Structured Data,"The lecture discusses the Massively Parallel Processing (MPP) model for structured data within big data computing architectures. MPP databases partition data across multiple servers (nodes), each with its own CPU, memory, and storage, communicating via a network interconnect in a 'shared-nothing' architecture. A master node coordinates clients and query execution, distributing tasks to slave nodes (segments) that process their data partitions in parallel. The architecture enables fault tolerance through mirroring segments and a standby master, though intra-query fault tolerance remains a challenge. Data distribution is a core characteristic, achieved via clauses like DISTRIBUTED BY, using methods such as hash or round-robin distribution, as seen in systems like Greenplum.","['Massively Parallel Processing (MPP)', 'shared-nothing architecture', 'master node', 'slave nodes', 'segments', 'data distribution', 'fault tolerance', 'parallel execution', 'structured data', 'big data computing']",265579684766a5542ea3a5837d1254a5193b73ca0d25e7d11f2ce6ebdeddc56f,2026-01-04T17:42:35.008233+00:00
doc_1_4096705c83eab15a59437784cb05af58f818dedaa9fab6d80b44628b664f8ce3,1,1,BDA5-7.docx,"Architecture, Principles, and Advantages of the In-Memory Database SAP HANA","This session introduces in-memory databases, focusing on SAP HANA. It explains how advances in hardware (like 64-bit CPUs enabling 2TB memory) and software (distributed, cloud architecture) have made large-scale, in-memory computing feasible. HANA leverages these by storing data directly in RAM, bypassing disk-based caching, which reduces latency from 10,000 microseconds to 0.1 microseconds. Key software features include combining row-based (for OLTP) and column-based (for OLAP) storage, extensive compression to save memory, data partitioning for parallelization, elimination of pre-aggregated tables through in-memory on-the-fly calculations, and an insert-only approach using a delta store for efficient updates. HANA is massively parallel, supports SQL/JDBC/ODBC, and is optimized for modern multi-core processors. Its columnar storage enables faster aggregations, better compression, and simpler data models, converging OLTP and OLAP workloads and eliminating the need for separate data warehouses, leading to reported performance improvements of hundreds of times.","['In-Memory Database', 'SAP HANA', 'Column Store', 'OLTP and OLAP', 'Data Compression', 'Hardware Advances', 'Aggregation', 'Massively Parallel Processing', 'Row Store', 'Delta Store']",4096705c83eab15a59437784cb05af58f818dedaa9fab6d80b44628b664f8ce3,2026-01-04T17:42:34.505606+00:00
doc_1_33f55f2e1cb8c5ae4fbec49864de4595c309da723c7088827f0c1638425ac660,1,1,BDA5-6.docx,In-Memory Computing and Apache Spark for Big Data Processing,"This session discusses in-memory computing, represented by Apache Spark, as a key big data processing model. In-memory computing eliminates slow disk access by performing calculations entirely in RAM, significantly improving performance in clustered environments. Spark, an open-source distributed processing system, is a primary example. Initially developed at UC Berkeley, it is a fast and general engine for large-scale data processing, outperforming Hadoop's MapReduce by running primarily in memory. Its core data structure is the Resilient Distributed Dataset (RDD), which supports parallel operations through lazy transformations and actions, promoting fault tolerance, partitioning, and persistence. Spark's Master-Slave architecture involves Driver and Worker nodes for execution. Key Spark features include in-memory computation, lazy evolution, fault tolerance, immutability, partitioning, persistence, and coarse-grained operations. Its ecosystem comprises Spark Core, Spark SQL, Spark Streaming, MLlib, and GraphX. Advantages include high-speed processing, flexibility in programming languages, real-time data handling, and superior analytics capabilities, making it an industry standard despite its high RAM requirement.","['In-memory Computing', 'Apache Spark', 'Resilient Distributed Dataset (RDD)', 'Spark architecture', 'big data processing', 'parallel processing framework', 'lazy evolution', 'Spark ecosystem', 'fault tolerance', 'Master-Slave model']",33f55f2e1cb8c5ae4fbec49864de4595c309da723c7088827f0c1638425ac660,2026-01-04T17:42:27.417763+00:00
doc_1_1ac2e246def8e04dc32e46cf944a1457d5ddfdd2b20b1e704eac1ce4d2d34799,1,1,BDA5-8.docx,"Distributed Graph Computing: Mechanisms, Principles, and Pregel-based Systems","This lecture discusses distributed graph computing as a computational model for processing large-scale graphs beyond single-node capabilities. It contrasts this with models like MapReduce, which is ill-suited for graph problems due to data independence requirements and high communication overhead. The core of the lecture focuses on systems inspired by the Bulk Synchronous Parallel (BSP) model, primarily Google's Pregel. Pregel is presented as a generalized parallel graph transformation framework where the graph is partitioned, and computation proceeds in synchronized supersteps. Key mechanisms are explained: active nodes execute a user-defined compute() function, send messages to other nodes (which become active upon receipt), and halt when no messages are pending. The roles of the master (for coordination and fault tolerance via checkpoints) and workers (hosting partitions) are detailed. Optimization techniques like message combiners and aggregators are covered. Alternative approaches like a state-passing model and scalability limitations (network traffic, superstep barriers) are also discussed. Finally, the lecture places graph computing within a broader computing architecture framework, positioning platforms like Hadoop and Spark as providing the necessary tools to implement complex models like graph processing.","['Pregel', 'Bulk Synchronous Parallel (BSP)', 'superstep', 'graph partition', 'message passing', 'distributed graph computing', 'Apache Giraph', 'GraphLab', 'vertex', 'master-worker architecture']",1ac2e246def8e04dc32e46cf944a1457d5ddfdd2b20b1e704eac1ce4d2d34799,2026-01-04T17:42:17.187591+00:00
doc_1_8342247926011df87ba756ce28a6b0d5e4a3555e03e70c2daab953ec3d020806,1,1,big data analysis 3-3.docx,Data Cleaning Technology in Data Preprocessing,"This session discusses Data Cleaning Technology, which addresses three main problems: repeat record cleaning, missing value cleaning, and eliminating noise data. Repeat record cleaning removes duplicate records to improve analysis accuracy by comparing attribute similarities and weights. Missing value cleaning involves inferring and adding missing data using methods like ignoring records, default values, averages, or prediction. Eliminating noise data employs three algorithms: binning, clustering, and regression. Binning sorts records into boxes (bins) using equal depth, equal-width, or user-defined intervals, followed by smoothing via average, boundary, or median. Clustering groups similar data into clusters and treats outliers as noise. Regression fits data to a function (e.g., linear regression) to smooth patterns. Overall, these techniques constitute data preprocessing for reliable analysis.","['data cleaning', 'repeat record cleaning', 'missing value cleaning', 'noise data', 'binning algorithm', 'clustering algorithm', 'regression algorithm', 'smoothing', 'outliers', 'linear regression']",8342247926011df87ba756ce28a6b0d5e4a3555e03e70c2daab953ec3d020806,2026-01-04T17:42:05.369323+00:00
doc_1_0eed25824bbfb265b1f9aacd07a5efb0df3c45e97cf6a16321bb4c7ba18ca6aa,1,1,Big data 3-1.docx,Data Preprocessing Techniques and Applications,"This session introduces data preprocessing, which is necessary because data collected from various sources often contains dirty data that can damage analysis results. The lecture covers the main components of data preprocessing: data cleaning (handling missing and noisy data), data transformation (normalization, attribute selection, etc.), and data reduction (dimensionality reduction, data amount reduction, discretization). It also touches on data integration and specification. The lecture explains methods for preventing dirty data, such as developing data standards and optimizing system design. It provides a historical overview of data cleaning research, noting its origins in correcting US Social Security numbers and its acceleration with information and commerce development. Specific techniques for data cleaning (anomaly detection, deduplication, filling missing values), data reduction (dimensionality reduction, reducing data amount, discretization), and their applications in industries like banking, insurance, and securities are discussed.","['data preprocessing', 'data cleaning', 'data transformation', 'data reduction', 'dirty data', 'missing data', 'noisy data', 'dimensionality reduction', 'data integration', 'data specification']",0eed25824bbfb265b1f9aacd07a5efb0df3c45e97cf6a16321bb4c7ba18ca6aa,2026-01-04T17:41:49.393621+00:00
doc_1_f373197eb605a5d49a4b5bc0c87fdb664f061ac8adf4a8f861f7cbb53f5eebe0,1,1,Big data 3-2.docx,Data Quality Issues in Single and Multiple Data Sources,"This session discusses data quality, focusing on issues within single data sources and across multiple data sources. Problems are classified along two dimensions: number of sources (single vs. multiple) and abstraction level (model vs. instance). Single-source model-level issues include uniqueness constraints and attribute dependencies, while instance-level issues involve spelling errors and redundant records. In multiple-source integration, model-level problems are primarily naming and structural conflicts, such as using different names for the same object or different attribute granularities. Instance-level conflicts include different representations of values (e.g., 'male' vs. 'M') and overlapping records. The session emphasizes that data quality problems at different levels require different data cleaning methods.","['data quality', 'single data source', 'multiple data sources', 'model-level issues', 'instance-level issues', 'data cleaning', 'naming conflict', 'structural conflict', 'integrity constraints', 'duplicate records']",f373197eb605a5d49a4b5bc0c87fdb664f061ac8adf4a8f861f7cbb53f5eebe0,2026-01-04T17:41:44.035185+00:00
